,day,data_temperature_mean,data_temperature_std,data_humidity_mean,data_humidity_std,data_pm2_5_mean,data_pm2_5_std,data_pm2_5_min,data_pm2_5_max,data_voc_mean,data_voc_std,data_voc_min,data_voc_max,data_co2_mean,data_co2_std,data_co2_min,Target
3785,0,31.33333333,0.005163978,67.98166667,0.416241116,112.5,1.516575096,111,115,2.107666667,0.259661831,1.904,2.537,1099.166667,27.22070291,1061,Boil(Pressure Cooker)
3786,0,31.33166667,0.004082483,67.88333333,0.283948352,111.6666667,1.211060151,110,113,1.998333333,0.162757079,1.881,2.318,1098,25.74490241,1061,Boil(Pressure Cooker)
3787,0,31.33,0,67.99833333,0.415760348,110.6666667,2.581988902,106,113,1.926833333,0.048047546,1.881,2.004,1102.666667,32.93427799,1061,Boil(Pressure Cooker)
3788,0,31.33,0,68.09666667,0.488207606,109.6666667,2.658320276,106,113,1.9125,0.029777508,1.881,1.965,1118.666667,52.42772803,1061,Boil(Pressure Cooker)
3789,0,31.33,0,68.26,0.319061123,108.3333333,3.669695722,103,113,1.892333333,0.028033314,1.844,1.918,1134.666667,45.50018315,1074,Boil(Pressure Cooker)
3790,0,31.33,0,68.22666667,0.376917321,106.6666667,4.412104565,101,113,1.846,0.103982691,1.64,1.918,1117.666667,79.24308592,972,Boil(Pressure Cooker)
3791,0,31.33,0,68.06333333,0.583118056,105.8333333,3.311595792,101,110,1.765333333,0.196535663,1.42,1.918,1092.666667,105.3065367,950,Boil(Pressure Cooker)
3792,0,31.31166667,0.044907312,67.655,1.171797764,106,3.577708767,101,111,1.592666667,0.411796875,0.845,1.918,1007.166667,220.7409492,610,Boil(Pressure Cooker)
3793,0,31.29666667,0.052025635,67.16333333,1.298008731,107.3333333,4.844240569,101,114,1.4095,0.490518807,0.79,1.918,914.6666667,260.5975185,597,Boil(Pressure Cooker)
3794,0,31.28166667,0.053447794,66.57333333,1.307970438,109.1666667,6.493586581,101,118,1.189666667,0.512136961,0.599,1.844,808.1666667,250.0443294,563,Boil(Pressure Cooker)
3795,0,31.26666667,0.049665548,66.00166667,1.129237206,112.1666667,7.194905607,101,121,0.974,0.450193292,0.55,1.64,708.3333333,196.8295371,558,Boil(Pressure Cooker)
3796,0,31.24833333,0.041190614,65.54333333,0.856403332,115.1666667,5.036533201,108,121,0.798333333,0.327171311,0.55,1.42,638.3333333,154.4210694,552,Boil(Pressure Cooker)
3797,0,31.235,0.012247449,65.36333333,0.483473543,117.3333333,4.033195593,111,121,0.997166667,0.800567653,0.55,2.613,571.6666667,25.41390695,550,Boil(Pressure Cooker)
3798,0,31.25,0.030983867,65.575,0.782706842,120.1666667,4.622409187,114,128,1.716166667,1.865501479,0.55,5.159,622.6666667,144.7199595,550,Boil(Pressure Cooker)
3799,0,31.275,0.064109282,66.11,1.565873558,122.3333333,4.179314141,118,128,2.689833333,2.646505274,0.55,6.632,695.3333333,219.4316902,550,Boil(Pressure Cooker)
3800,0,31.30666667,0.086409876,66.38333333,1.491491424,123.1666667,3.60092581,119,128,3.952833333,3.199573435,0.55,8.177,766.8333333,236.8868225,550,Boil(Pressure Cooker)
3801,0,31.345,0.100747208,66.72166667,1.30337127,123.5,3.449637665,119,128,5.1265,2.986156376,0.586,8.177,838.3333333,225.7278597,550,Boil(Pressure Cooker)
3802,0,31.395,0.100747208,66.78166667,1.206903752,122.3333333,5.715476068,112,128,6.152,2.012946298,2.613,8.177,884.1666667,179.0546472,550,Boil(Pressure Cooker)
3803,0,31.445,0.088034084,66.595,1.408726375,120.8333333,7.139094248,112,128,6.425166667,1.476314522,4.252,8.177,915.5,113.2338289,738,Boil(Pressure Cooker)
3804,0,31.48333333,0.064394617,66.44333333,1.424677741,118.5,6.595452981,112,127,6.268833333,1.673681859,4.221,8.177,904.3333333,116.4330995,738,Boil(Pressure Cooker)
